                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.36612,                0.35167,                0.95139,                0.71902,                0.68864,                0.72323,                 0.6182,                0.58145,                 1.3331,                 1.0983,              5.616e-05,              5.616e-05,              5.616e-05
                     83,                0.36638,                0.35198,                0.95334,                0.73862,                0.67291,                 0.7235,                0.61923,                0.57771,                 1.3298,                 1.0932,             5.3487e-05,             5.3487e-05,             5.3487e-05
                     84,                0.36348,                0.35006,                0.95202,                0.75578,                0.66576,                0.72419,                0.62232,                 0.5832,                  1.344,                 1.0968,             5.0814e-05,             5.0814e-05,             5.0814e-05
                     85,                0.35897,                0.34668,                0.94896,                0.75684,                0.66577,                0.72264,                0.62209,                0.58066,                 1.3683,                 1.0927,             4.8141e-05,             4.8141e-05,             4.8141e-05
                     86,                0.35951,                0.34158,                0.94887,                0.74611,                0.66643,                0.72056,                0.61725,                0.58804,                 1.3776,                 1.0979,             4.5468e-05,             4.5468e-05,             4.5468e-05
                     87,                0.35951,                0.34296,                0.94926,                0.72975,                0.68835,                0.72002,                0.61712,                0.58657,                 1.3717,                 1.0994,             4.2795e-05,             4.2795e-05,             4.2795e-05
                     88,                0.35877,                0.33708,                  0.949,                0.72696,                0.68812,                0.72264,                0.61982,                0.58206,                 1.3703,                 1.0948,             4.0122e-05,             4.0122e-05,             4.0122e-05
                     89,                0.35731,                0.33896,                0.94814,                0.73677,                0.68238,                0.72353,                0.62201,                0.58256,                 1.3536,                 1.0933,             3.7449e-05,             3.7449e-05,             3.7449e-05
                     90,                0.35393,                0.33371,                0.94782,                0.75408,                0.67013,                0.72211,                0.61983,                 0.5873,                 1.3569,                  1.102,             3.4776e-05,             3.4776e-05,             3.4776e-05
                     91,                0.27363,                0.23988,                0.88193,                0.78752,                0.64318,                0.71885,                0.62037,                0.58348,                 1.3457,                 1.1055,             3.2103e-05,             3.2103e-05,             3.2103e-05
                     92,                0.26748,                0.23198,                0.87772,                0.78889,                0.64402,                0.72123,                0.62345,                 0.5822,                 1.3451,                 1.1106,              2.943e-05,              2.943e-05,              2.943e-05
                     93,                0.26265,                0.22476,                 0.8739,                0.75415,                0.67161,                0.72041,                0.62521,                0.57656,                 1.3422,                 1.1076,             2.6757e-05,             2.6757e-05,             2.6757e-05
                     94,                0.25979,                0.21941,                0.87546,                0.73254,                0.68435,                0.72272,                0.62541,                0.57548,                 1.3549,                 1.1058,             2.4084e-05,             2.4084e-05,             2.4084e-05
                     95,                0.25759,                0.21817,                0.87165,                0.74324,                0.67724,                0.72503,                0.62986,                0.57186,                 1.3602,                 1.1006,             2.1411e-05,             2.1411e-05,             2.1411e-05
                     96,                0.25544,                0.21595,                  0.871,                0.77745,                0.64702,                0.72602,                0.63085,                0.57239,                 1.3677,                 1.1027,             1.8738e-05,             1.8738e-05,             1.8738e-05
                     97,                0.25158,                0.21463,                0.87037,                0.78803,                0.64221,                0.72493,                0.63004,                0.57587,                 1.3709,                 1.1024,             1.6065e-05,             1.6065e-05,             1.6065e-05
                     98,                0.24906,                0.20863,                0.86692,                0.79119,                 0.6444,                0.72628,                0.63173,                0.57302,                 1.3743,                 1.0993,             1.3392e-05,             1.3392e-05,             1.3392e-05
                     99,                0.24887,                0.20795,                0.86762,                0.79667,                0.64127,                0.72483,                0.63136,                0.57323,                 1.3751,                  1.098,             1.0719e-05,             1.0719e-05,             1.0719e-05
                    100,                0.24856,                0.20759,                0.86818,                0.77128,                0.65848,                0.72358,                0.62988,                0.57432,                 1.3691,                 1.0982,              8.046e-06,              8.046e-06,              8.046e-06
